message,label
"Good morning, I hope you have a great day.",ham
Can you send me the meeting schedule?,ham
I will arrive at the office around 9 AM.,ham
Please remember to bring the documents tomorrow.,ham
The class starts at 10 o'clock today.,ham
Thank you for helping me with my assignment.,ham
I have completed the project report.,ham
Are you free to discuss the project later?,ham
Your order has been delivered successfully.,ham
The package arrived this afternoon.,ham
Let's meet at the library after lunch.,ham
I will call you when I reach home.,ham
Happy birthday! Wishing you all the best.,ham
Please check the attached file for the details.,ham
The exam timetable has been released.,ham
Can you share the notes from yesterday's lecture?,ham
Dinner is ready. Come home when you are free.,ham
I have submitted the application form.,ham
The appointment has been confirmed for Monday.,ham
Thank you for your support and guidance.,ham
The weather looks good today.,ham
I am waiting near the main entrance.,ham
Please update me when you finish the task.,ham
Your food delivery is on the way.,ham
The meeting room has been changed to Room B.,ham
Don't forget to bring your charger.,ham
I have uploaded the presentation slides.,ham
Can we discuss the assignment requirements?,ham
The train will arrive at 6 PM.,ham
I will send the payment receipt later.,ham
The team meeting starts tomorrow morning.,ham
Please review my document when you have time.,ham
I am going to the supermarket later.,ham
The project deadline is next Friday.,ham
Thanks for sharing the information.,ham
I have received your message.,ham
Let's work together on this problem.,ham
The restaurant reservation is confirmed.,ham
Your account balance has been updated.,ham
Please contact me if you need any help.,ham
The event will begin at 7 PM.,ham
I finished my homework already.,ham
Can you explain this question to me?,ham
The classroom has moved to another location.,ham
I will bring the laptop tomorrow.,ham
The documents are ready for collection.,ham
Thank you for attending the meeting.,ham
The website update has been completed.,ham
I will check the system later.,ham
The invoice has been received.,ham
Please send the final version of the report.,ham
I am currently working on the assignment.,ham
The bus will arrive in ten minutes.,ham
Your reservation has been successfully confirmed.,ham
Let's have lunch together tomorrow.,ham
I will be unavailable this afternoon.,ham
Please remind me about the appointment.,ham
The new schedule has been shared.,ham
I have fixed the issue you reported.,ham
The presentation went well today.,ham
Can you join the online meeting tonight?,ham
I have completed the required training.,ham
The file has been saved successfully.,ham
Please check your email for the details.,ham
I will send the information soon.,ham
The teacher uploaded new materials.,ham
The payment was completed successfully.,ham
Your application is being processed.,ham
I have arrived at the location.,ham
The store opens at 9 AM.,ham
Please confirm your attendance.,ham
The team has approved the proposal.,ham
I will prepare the report by tomorrow.,ham
Thank you for your quick response.,ham
The software update is complete.,ham
I received the package safely.,ham
Let's discuss this during the meeting.,ham
Your appointment reminder has been scheduled.,ham
The library closes at 8 PM.,ham
I will help you with the project.,ham
Please bring your identification card.,ham
The event location has been updated.,ham
I have sent the required documents.,ham
The payment deadline is next week.,ham
Can you review the code changes?,ham
The problem has been solved.,ham
I will wait for your reply.,ham
The report looks good now.,ham
The customer request has been completed.,ham
Please check the attached information.,ham
I am travelling home today.,ham
The booking confirmation has arrived.,ham
The meeting has been postponed.,ham
Your subscription has been renewed successfully.,ham
I will update the team later.,ham
The delivery driver is nearby.,ham
Please let me know your decision.,ham
The assignment instructions are available online.,ham
I have received the confirmation email.,ham
The system is working normally.,ham
See you tomorrow at campus.,ham
"""Congratulations! You have won a free smartphone. Claim your prize now!""",spam
"""Limited time offer! Get 70% discount on all products today.""",spam
"""FREE voucher waiting for you. Click to redeem now!""",spam
"""You are selected as our lucky winner. Reply YES to receive your gift.""",spam
"""Exclusive promotion! Buy now and receive a special bonus.""",spam
"""Earn extra income from home. No experience required!""",spam
"""Congratulations! Your account has been chosen for a cash reward.""",spam
"""Flash sale starts now! Save big on your favourite items.""",spam
"""Get free shopping coupons today. Register immediately.""",spam
"""Special offer only for you. Claim your reward before it expires.""",spam
"""Win a brand new laptop by joining our lucky draw.""",spam
"""Act fast! Free membership available for limited users.""",spam
"""Your chance to receive RM500 cash is here. Apply now!""",spam
"""Big discount alert! Purchase today and save more.""",spam
"""Congratulations! You have unlocked a premium reward.""",spam
"""Free tickets available now. Click to reserve your seat.""",spam
"""Don't miss this amazing deal. Order before midnight.""",spam
"""Lowest price guaranteed. Shop now and enjoy huge savings.""",spam
"""Get a free gift with every purchase today.""",spam
"""Exclusive customer reward available. Claim immediately.""",spam
"""Limited offer! Subscribe now and get one month free.""",spam
"""You have been selected for a special promotion.""",spam
"""Receive cashback rewards when you register today.""",spam
"""Buy one get one free offer starts now.""",spam
"""Special clearance sale! Everything must go.""",spam
"""Congratulations! You are eligible for a free holiday package.""",spam
"""Earn money quickly with our online opportunity.""",spam
"""Claim your free data package before it ends.""",spam
"""New users receive a welcome bonus. Sign up today.""",spam
"""Massive sale event! Prices reduced for a limited time.""",spam
"""Get exclusive VIP access with your free membership.""",spam
"""Your reward points can be exchanged for gifts now.""",spam
"""Win exciting prizes by completing this short survey.""",spam
"""Free movie subscription available. Activate today.""",spam
"""Huge savings available. Shop our latest collection now.""",spam
"""Special deal for selected customers only.""",spam
"""Congratulations! You have received a shopping voucher.""",spam
"""Join our giveaway and win amazing prizes.""",spam
"""Limited stock available. Order yours before it sells out.""",spam
"""Get RM100 instantly by downloading our application.""",spam
"""Today's special offer cannot be missed.""",spam
"""Unlock your exclusive discount code now.""",spam
"""Free delivery promotion available this week only.""",spam
"""Become a member today and receive rewards.""",spam
"""Your lucky number has been selected. Claim your prize.""",spam
"""Big promotion! Save up to 90% on selected items.""",spam
"""Get instant approval for our special offer.""",spam
"""Congratulations! You have won a shopping credit.""",spam
"""Special bonus waiting for you. Click to collect.""",spam
"""Limited invitation: Join our premium program today.""",spam
"""Receive a free gift card by participating now.""",spam
"""Exclusive online deal available for today only.""",spam
"""Earn thousands monthly through our easy program.""",spam
"""Your free coupon is ready. Redeem before expiry.""",spam
"""Buy now and receive additional rewards.""",spam
"""Super sale begins today. Don't miss the opportunity.""",spam
"""Claim your free upgrade package now.""",spam
"""Congratulations! You are one of our selected customers.""",spam
"""Get a special discount by clicking this offer.""",spam
"""Free trial available. Subscribe immediately.""",spam
"""Save money with our amazing limited promotion.""",spam
"""Receive bonus points after completing registration.""",spam
"""Hot deal alert! Prices reduced for a short period.""",spam
"""Join our reward program and get free benefits.""",spam
"""Your exclusive coupon is waiting. Use it now.""",spam
"""Special offer ends tonight. Purchase before deadline.""",spam
"""Win cash prizes by entering our competition.""",spam
"""Free accessories available for new customers.""",spam
"""Get instant rewards after signing up today.""",spam
"""Congratulations! Your name appears on our winner list.""",spam
"""Claim your special package before someone else takes it.""",spam
"""Online shopping festival starts now. Enjoy discounts.""",spam
"""Receive a free bonus when you complete this offer.""",spam
"""New promotion launched. Register to participate.""",spam
"""Limited quantity available. Buy immediately.""",spam
"""Get your free reward by replying YES now.""",spam
"""Exclusive deal for loyal customers. Act today.""",spam
"""Special announcement! You have received a reward.""",spam
"""Free subscription offer available for a limited time.""",spam
"""Increase your income with our simple online method.""",spam
"""Congratulations! Collect your free electronics voucher.""",spam
"""Discount code available. Use it before it expires.""",spam
"""Don't wait! This amazing offer ends soon.""",spam
"""Claim your bonus reward with one simple step.""",spam
"""Special promotion for new members only.""",spam
"""Win an iPhone by joining our giveaway today.""",spam
"""Get free internet data by registering now.""",spam
"""Exclusive shopping deal available immediately.""",spam
"""Your chance to save money starts today.""",spam
"""Receive a gift package after completing this form.""",spam
"""Limited-time reward. Click now to claim.""",spam
"""Huge discounts on electronics. Shop today.""",spam
"""Congratulations! You have been selected for a prize.""",spam
"""Free coupons available while supplies last.""",spam
"""Special customer offer. Activate now.""",spam
"""Earn rewards easily with our new program.""",spam
"""Get cashback instantly after purchase.""",spam
"""Last chance! Claim your free reward today.""",spam
"""Congratulations! You have been chosen for our exclusive giveaway.""",spam
"""Get your free Amazon gift card today. Claim before midnight.""",spam
"""Amazing opportunity! Start earning money immediately.""",spam
"""Special promotion! Enjoy massive discounts on selected products.""",spam
"""Free reward available. Click the link to receive it now.""",spam
"""Your lucky draw entry has been approved. Collect your prize.""",spam
"""Limited offer! Get premium access at no cost.""",spam
"""Save up to 80% with our special shopping event.""",spam
"""Congratulations! A surprise gift is waiting for you.""",spam
"""Earn cash rewards by completing simple online tasks.""",spam
"""Exclusive offer for registered users. Join today.""",spam
"""Free mobile data package available. Activate now.""",spam
"""Hot deal! Purchase today and receive extra bonuses.""",spam
"""Win exciting prizes in our monthly competition.""",spam
"""Your reward coupon is about to expire. Redeem now.""",spam
"""Special discount unlocked. Click to use your voucher.""",spam
"""Get a free trial of our premium service today.""",spam
"""Massive savings available only for a limited time.""",spam
"""Congratulations! You are eligible for a special gift.""",spam
"""Receive RM300 shopping credit by signing up now.""",spam
"""New customers get free rewards instantly.""",spam
"""Exclusive flash sale! Prices dropped today only.""",spam
"""Claim your bonus points before they disappear.""",spam
"""Free samples available. Request yours now.""",spam
"""Don't miss this unbelievable promotion.""",spam
"""Get instant cashback after registration.""",spam
"""Congratulations! Your reward has been reserved.""",spam
"""Special deal alert! Save more when you buy now.""",spam
"""Win a luxury phone through our lucky draw.""",spam
"""Free membership upgrade available today.""",spam
"""Your special offer is ready. Click to activate.""",spam
"""Earn extra income with our simple online system.""",spam
"""Limited seats available. Register immediately.""",spam
"""Exclusive invitation! Join our premium club.""",spam
"""Free delivery and discounts available this week.""",spam
"""Congratulations! You have received a bonus reward.""",spam
"""Get unlimited access with our special package.""",spam
"""Today only! Huge discount on all items.""",spam
"""Your free voucher is waiting. Redeem now.""",spam
"""Special customer promotion. Take advantage today.""",spam
"""Win cash prizes instantly by joining our contest.""",spam
"""New deal launched! Buy now before it ends.""",spam
"""Get a surprise reward after completing this survey.""",spam
"""Congratulations! You are among our top winners.""",spam
"""Free upgrade offer available for selected users.""",spam
"""Claim your shopping credits before the deadline.""",spam
"""Exclusive sale event begins now.""",spam
"""Save more money with our limited promotion.""",spam
"""Get your bonus gift after a quick registration.""",spam
"""Free entertainment subscription available now.""",spam
"""Special offer! Receive additional benefits today.""",spam
"""Your account has earned reward points. Exchange them now.""",spam
"""Join our lucky draw and win amazing prizes.""",spam
"""Big clearance sale! Everything must be sold.""",spam
"""Earn money online without investment.""",spam
"""Congratulations! Your free package is ready.""",spam
"""Click now to unlock your special discount.""",spam
"""Limited time bonus! Do not miss this chance.""",spam
"""Get a free shopping voucher instantly.""",spam
"""Exclusive online promotion for selected customers.""",spam
"""Special reward program starts today.""",spam
"""Win a free holiday trip by entering now.""",spam
"""Your discount code has been generated.""",spam
"""Get amazing prices on our latest products.""",spam
"""Free bonus available for new registrations.""",spam
"""Congratulations! You have won a special prize.""",spam
"""Enjoy 50% off your next purchase today.""",spam
"""Act quickly! This offer expires soon.""",spam
"""Receive free gifts when you shop with us.""",spam
"""Join today and unlock premium benefits.""",spam
"""Special package available at a very low price.""",spam
"""Get instant rewards by downloading our app.""",spam
"""Exclusive deal created just for you.""",spam
"""Your chance to win starts now.""",spam
"""Limited promotion! Order before stock runs out.""",spam
"""Free coupons are available for everyone.""",spam
"""Earn rewards by inviting your friends.""",spam
"""Congratulations! Your application for a reward was approved.""",spam
"""Special discount waiting for you inside.""",spam
"""Claim your free bonus before it is gone.""",spam
"""Big savings event begins this weekend.""",spam
"""Receive a gift card after completing registration.""",spam
"""New users can get a welcome reward.""",spam
"""Special offer! Buy more and save more.""",spam
"""Free premium service for selected customers.""",spam
"""Get your exclusive deal today.""",spam
"""Reward notification: claim your prize now.""",spam
"""Win exciting gifts through our online campaign.""",spam
"""Limited-time coupon available now.""",spam
"""Start earning additional income today.""",spam
"""Your free item is waiting for confirmation.""",spam
"""Special shopping event with huge discounts.""",spam
"""Congratulations! You have been selected for a bonus.""",spam
"""Activate your free membership now.""",spam
"""Save money with this amazing offer.""",spam
"""Receive a free gift after joining our program.""",spam
"""Final reminder! Claim your promotion today.""",spam
"""Get access to exclusive deals instantly.""",spam
"""Flash promotion ends soon. Shop now.""",spam
"""Your reward is ready. Confirm to receive it.""",spam
"""Congratulations! You have unlocked a special reward today.""",spam
"""Get 90% discount on our products. Shop immediately.""",spam
"""Free bonus points are available. Redeem them now.""",spam
"""Limited time deal! Purchase before the offer ends.""",spam
"""Win a brand new device in our online giveaway.""",spam
"""Your exclusive reward package is ready to collect.""",spam
"""Join now and receive a welcome bonus instantly.""",spam
"""Special offer for you! Click to claim your discount.""",spam
"""Earn extra money with our easy online opportunity.""",spam
"""Free shopping voucher available for selected users.""",spam
"""Congratulations! Your prize notification has arrived.""",spam
"""Get a free upgrade by activating this offer.""",spam
"""Huge promotion! Save more when you order today.""",spam
"""Your lucky reward is waiting. Claim it now.""",spam
"""Exclusive member benefits available immediately.""",spam
"""Free gifts available while supplies last.""",spam
"""Special weekend sale! Enjoy amazing discounts.""",spam
"""Congratulations! You have received a bonus coupon.""",spam
"""Unlock premium features with our special deal.""",spam
"""Claim your free package before it expires.""",spam
"""Limited stock! Buy now before it is gone.""",spam
"""Get cashback rewards from every purchase.""",spam
"""Special invitation! Become a VIP customer today.""",spam
"""Win exciting prizes by joining our campaign.""",spam
"""Free internet package available. Register now.""",spam
"""Congratulations! You are selected for a special offer.""",spam
"""Save up to 75% with our latest promotion.""",spam
"""Your discount voucher is ready to use.""",spam
"""Act now and receive a free surprise gift.""",spam
"""Exclusive sale event starts today.""",spam
"""Earn rewards quickly with our new program.""",spam
"""Get free access to premium services.""",spam
"""Congratulations! Claim your free electronics gift.""",spam
"""Special deal available only for today.""",spam
"""Receive instant rewards after completing registration.""",spam
"""Big announcement! A special reward is waiting.""",spam
"""Get your free coupon by clicking now.""",spam
"""New customers receive exclusive benefits.""",spam
"""Limited offer! Subscribe and get extra rewards.""",spam
"""Your bonus credit has been added. Use it now.""",spam
"""Join our promotion and win amazing prizes.""",spam
"""Free trial available. Start using it today.""",spam
"""Congratulations! Your name has been selected.""",spam
"""Special discount code available now.""",spam
"""Get huge savings with this limited offer.""",spam
"""Receive free gifts with your next purchase.""",spam
"""Win cash prizes through our lucky draw.""",spam
"""Exclusive promotion ends soon. Take action now.""",spam
"""Your free reward is waiting for confirmation.""",spam
"""Get instant approval for our special package.""",spam
"""Limited time! Enjoy our biggest sale event.""",spam
"""Congratulations! You have earned a free voucher.""",spam
"""Free subscription available for new users.""",spam
"""Increase your income with our simple method.""",spam
"""Claim your reward points before they expire.""",spam
"""Special offer unlocked for your account.""",spam
"""Get a free gift card today.""",spam
"""Massive discounts available on selected items.""",spam
"""Your chance to win a prize is here.""",spam
"""Exclusive customer reward program launched.""",spam
"""Receive special bonuses when you register.""",spam
"""Congratulations! Your reward has been approved.""",spam
"""Save money today with our amazing deals.""",spam
"""Free delivery offer available now.""",spam
